feature,iter_0
HighBP,0.020521603297506342
HighChol,0.0202178352804383
CholCheck,0.008301391662742836
BMI,0.024257671738133053
Smoker,0.025807722345820943
Stroke,0.0014815127617179545
HeartDiseaseorAttack,0.0
PhysActivity,0.017081756203797566
Fruits,0.003965437382341974
Veggies,0.0006064736784529672
HvyAlcoholConsump,0.0016091560412097238
AnyHealthcare,0.0
NoDocbcCost,0.0
GenHlth,0.04782965895357856
MentHlth,0.005773097413273276
PhysHlth,0.02345963168419763
DiffWalk,0.017222252096104295
Sex,0.01781219141244776
Age,0.19367760783762922
Education,0.010601744243084568
Income,0.01178770138429956
