feature,iter_9
HighBP,0.11326204388367249
HighChol,0.012071990208720221
CholCheck,0.005420574345688026
BMI,0.00466453560274814
Smoker,0.00036861532977860295
Stroke,0.000379566269207143
HeartDiseaseorAttack,0.0030846642686477533
PhysActivity,0.004967527929523438
Fruits,0.0006366355674299514
Veggies,0.0012743128237944722
HvyAlcoholConsump,0.0018684805957096889
AnyHealthcare,0.0010762431267423347
NoDocbcCost,0.0005190345146432781
GenHlth,0.006004983023464255
MentHlth,0.0042450994735140695
PhysHlth,0.027540174909983405
DiffWalk,8.084406918037824e-05
Sex,0.0024346577830741656
Age,0.28662878911000994
Education,0.0019945365697625565
Income,0.015759790646394642
