feature,iter_12
HighBP,0.01149280307157674
HighChol,0.007404257465161135
CholCheck,0.0015459452215817334
BMI,0.07609486203915969
Smoker,0.004435416777931485
Stroke,0.0
HeartDiseaseorAttack,0.006659269596360378
PhysActivity,0.010145448223861526
Fruits,0.006824097633516238
Veggies,0.0020336168672993073
HvyAlcoholConsump,0.0
AnyHealthcare,0.0
NoDocbcCost,0.0
GenHlth,0.09987227963236972
MentHlth,0.020350624916816464
PhysHlth,0.02085632347741918
DiffWalk,0.018785875435255266
Sex,0.0053932556272878966
Age,0.012591228955227313
Education,0.02639792828012086
Income,0.11535339593451951
