feature,iter_18
HighBP,0.08193933344374868
HighChol,0.044561636821765865
CholCheck,0.005713381867509347
BMI,0.050707132113488214
Smoker,0.032824184762121726
Stroke,0.0
HeartDiseaseorAttack,0.0027203581887533554
PhysActivity,0.013377094710749922
Fruits,0.006787596626427658
Veggies,0.006081142421678143
HvyAlcoholConsump,0.0
AnyHealthcare,0.0
NoDocbcCost,0.0
GenHlth,0.015639245102518774
MentHlth,0.03536195073018174
PhysHlth,0.016858057983932414
DiffWalk,0.005880300318520934
Sex,0.02857939016550502
Age,0.04047491244173861
Education,0.005586147074904494
Income,0.08290863164560178
