feature,iter_6
HighBP,0.04898790543643487
HighChol,0.006692733311129795
CholCheck,0.0
BMI,0.07965621727153631
Smoker,0.0067581632954796505
Stroke,0.0030549198259780625
HeartDiseaseorAttack,0.0022318737593496956
PhysActivity,0.014261791372789611
Fruits,0.002928761678953866
Veggies,0.010039398648186242
HvyAlcoholConsump,0.0050180134526124805
AnyHealthcare,0.0
NoDocbcCost,0.004042468365180905
GenHlth,0.018708540818729514
MentHlth,0.03299826290094542
PhysHlth,0.010053666326651334
DiffWalk,0.001826954498426553
Sex,0.1215932027150361
Age,0.03015654683686303
Education,0.018957587956608256
Income,0.015769633691935802
