feature,iter_13
HighBP,0.06509447669109585
HighChol,0.007755724812810142
CholCheck,0.0
BMI,0.04571940845744831
Smoker,0.01938079792869417
Stroke,0.002830644207172816
HeartDiseaseorAttack,0.009144496079442798
PhysActivity,0.04031241043189691
Fruits,0.008306280267485311
Veggies,0.00803429505480879
HvyAlcoholConsump,0.0025286481536334823
AnyHealthcare,0.0
NoDocbcCost,0.004104111505166463
GenHlth,0.04154467427456073
MentHlth,0.026098389848782176
PhysHlth,0.017179354732998475
DiffWalk,0.032618008771776986
Sex,0.005402274299751525
Age,0.028864803192719838
Education,0.017185987546381426
Income,0.07115693667035557
