feature,iter_4
HighBP,0.07763585173490235
HighChol,0.01959085273218598
CholCheck,0.0
BMI,0.03150618439978194
Smoker,0.003631442828191945
Stroke,0.03175306282791198
HeartDiseaseorAttack,0.008350405385341462
PhysActivity,0.005682062976715957
Fruits,0.01219797596663256
Veggies,0.007486500747334594
HvyAlcoholConsump,0.0
AnyHealthcare,0.004437747225406697
NoDocbcCost,0.0
GenHlth,0.015453343281050974
MentHlth,0.024732419434074313
PhysHlth,0.03604361039116002
DiffWalk,0.016572930493944708
Sex,0.0030132982734970533
Age,0.08888530416641122
Education,0.01748365926483562
Income,0.053054724227326655
