K,Method,Acc_Mean,Acc_Std,F1_Mean,F1_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,Avg_Retained_Features
2,TTFS-TOP10,0.5975,0.10680706905444039,0.5845976228212573,0.14546977547328088,0.6009060738493235,0.12436309811249788,0.5985999999999999,0.1944254098619828,10.0
4,TTFS-TOP10,0.6198499999999999,0.08599376430881485,0.6220423559568637,0.10195435015219405,0.6193608584961329,0.0885921151071369,0.6446999999999999,0.16515117317173378,9.9849
6,TTFS-TOP10,0.6324000000000001,0.08815236809070985,0.6494297998601095,0.07302174903181356,0.633171807233095,0.08500541661965363,0.6835,0.11092858062735679,9.9576
8,TTFS-TOP10,0.6288,0.0754775463300179,0.6244101742768777,0.08173591646032984,0.6350028244650824,0.07575054856165214,0.6283000000000001,0.13006502220043634,9.78725
10,TTFS-TOP10,0.6315499999999998,0.05892323395741277,0.6362804550288673,0.06303805812697272,0.6330034275124191,0.059312408291682744,0.6538,0.11379964850560832,9.54525
12,TTFS-TOP10,0.6442500000000001,0.06539638751490788,0.6506976609999213,0.07429553526132412,0.6399186057716602,0.06265157832747864,0.6747000000000001,0.1257891489755774,9.81325
14,TTFS-TOP10,0.6463,0.07118574295461134,0.6466196685741279,0.08279819582060682,0.6484256113618423,0.07084923981517728,0.6603000000000001,0.12918556420900906,9.749699999999999
16,TTFS-TOP10,0.6551999999999999,0.05706890571931443,0.6464357253799279,0.08263475702551851,0.6617714071274394,0.057410492695987046,0.6487,0.134786163978355,9.705400000000001
