K,Method,Acc_Mean,Acc_Std,F1_Mean,F1_Std,Precision_Mean,Recall_Mean
2,TabPFN,0.5801999999999999,0.0873467801352746,0.5647441378372224,0.1230181343142448,0.5972229738793422,0.5749000000000001
4,TabPFN,0.6073000000000001,0.07595992364398481,0.6191566849309145,0.07167171079132069,0.6101847581990865,0.6472
6,TabPFN,0.6197999999999999,0.08315683976679247,0.6240960222762771,0.08598721186608385,0.6223187748246457,0.6418
8,TabPFN,0.6171500000000001,0.07760558936056088,0.6156097514915576,0.08536771859928784,0.6194272333830677,0.6224999999999999
10,TabPFN,0.62015,0.06249341965359233,0.6206699650604125,0.07490759696646593,0.6213561912755919,0.6344
12,TabPFN,0.6346499999999999,0.06100268436716536,0.6327097051904171,0.07806159703506631,0.6352025211339328,0.6426999999999999
14,TabPFN,0.6362500000000002,0.07153801436998375,0.6345618562566188,0.08086806844906581,0.6411608945464538,0.6435000000000001
16,TabPFN,0.6525999999999998,0.05049792074927442,0.646407167434017,0.07511182484907065,0.6579596416333482,0.6519
