K,Method,Acc_Mean,Acc_Std,F1_Mean,F1_Std,Precision_Mean,Recall_Mean
2,TabPFN,0.50095,0.01628642072402652,0.4960427526303999,0.07798920678166887,0.4986280707758087,0.5112
4,TabPFN,0.5003500000000002,0.011888124326402388,0.5065745872406827,0.09168337430286629,0.4987579861277812,0.5427
6,TabPFN,0.49834999999999996,0.008917819240150594,0.49468932171547075,0.07790735225484789,0.4982367657595522,0.5136000000000001
8,TabPFN,0.49515000000000003,0.014139572129311415,0.5001708739258101,0.10773217368654105,0.49011146124976496,0.5404
10,TabPFN,0.50405,0.011346695554213138,0.49528881258159074,0.09161480230836089,0.5020506043510972,0.5149999999999999
12,TabPFN,0.4993,0.011243220179290282,0.4972133505809828,0.047847367034582734,0.49869068165970526,0.5032000000000001
14,TabPFN,0.49745,0.014524031809384073,0.4906470705596919,0.06336072379849782,0.4975024655950874,0.49910000000000004
16,TabPFN,0.49820000000000003,0.011111255554616688,0.4864554198746228,0.06259736328699045,0.499191028434005,0.4894
