feature,iter_15
Age,0.037638568740528906
Sex,0.002481902283541044
Cholesterol,0.019431242441305462
Heart Rate,0.03743450270140327
Diabetes,0.003231309644083213
Family History,0.0066101129250760084
Smoking,0.0
Obesity,0.0
Alcohol Consumption,0.0022483302788803314
Exercise Hours Per Week,0.005603258989807569
Diet,0.13156200878510313
Previous Heart Problems,0.0031776377952176063
Medication Use,0.015254850980119666
Stress Level,0.0044816080276281955
Sedentary Hours Per Day,0.007937157127292207
Income,0.0627535849255562
BMI,0.0006516187900814684
Triglycerides,0.003077892324455999
Physical Activity Days Per Week,0.08733411099378399
Sleep Hours Per Day,0.010223193354376872
Country,0.0019752976941847904
Continent,0.01144353501784796
Hemisphere,0.003547957656673635
Systolic BP,0.011050023397559911
Diastolic BP,0.029645720120970824
