feature,iter_12
Age,0.030449733398342272
Sex,0.0
Cholesterol,0.03157974673472157
Heart Rate,0.03403156007179293
Diabetes,0.048021942282417546
Family History,0.035969055520017085
Smoking,0.0
Obesity,0.019711153857147154
Alcohol Consumption,0.0
Exercise Hours Per Week,0.030613459221460835
Diet,0.01317927217731648
Previous Heart Problems,0.0020849465600037455
Medication Use,0.02709712805396165
Stress Level,0.03180111523831539
Sedentary Hours Per Day,0.011854419442887844
Income,0.010581250198592351
BMI,0.006376144702838503
Triglycerides,0.03188328019080722
Physical Activity Days Per Week,0.004166138008464079
Sleep Hours Per Day,0.025893703368658032
Country,0.002108484798039427
Continent,0.010691806205892511
Hemisphere,0.011932903716095114
Systolic BP,0.07008322449290821
Diastolic BP,0.00931122940495007
