feature,iter_9
Age,0.015129825329528501
Sex,0.0018709469661663015
Cholesterol,0.014169036522779621
Heart Rate,0.013982509084866538
Diabetes,0.0
Family History,0.007950977244856064
Smoking,0.0
Obesity,0.005606940080508955
Alcohol Consumption,0.0
Exercise Hours Per Week,0.020551158763470783
Diet,0.006375251546480526
Previous Heart Problems,0.003698124563605673
Medication Use,0.043831581965771964
Stress Level,0.015090819904920796
Sedentary Hours Per Day,0.05881517995774835
Income,0.006571130531416772
BMI,0.019925072297413134
Triglycerides,0.022523442790816042
Physical Activity Days Per Week,0.04390544530925845
Sleep Hours Per Day,0.02260469594145258
Country,0.06490441395781943
Continent,0.03218262879577498
Hemisphere,0.004054510246344496
Systolic BP,0.04615922281629068
Diastolic BP,0.0296171109007046
