feature,iter_8
Age,0.004747504503495899
Sex,0.0
Cholesterol,0.0010878072113813587
Heart Rate,0.0038588050752755474
Diabetes,0.00017832211478270853
Family History,0.00506963782110773
Smoking,0.0007907480285794933
Obesity,0.0004960961115169574
Alcohol Consumption,0.0
Exercise Hours Per Week,0.003535188385776551
Diet,0.0002233067236993704
Previous Heart Problems,0.00014468627219299882
Medication Use,0.0033523541709628187
Stress Level,0.43638675633748536
Sedentary Hours Per Day,0.00038609140597955913
Income,0.001983761399807296
BMI,0.0008105820498960083
Triglycerides,0.0063894947952257974
Physical Activity Days Per Week,0.0004841832273530604
Sleep Hours Per Day,0.0014226582690565945
Country,0.015773120601473557
Continent,0.0059866339577564955
Hemisphere,0.0
Systolic BP,0.003159747384271683
Diastolic BP,0.001415982009327825
