feature,iter_2
Age,0.008029687926497123
Sex,0.005718933446573791
Cholesterol,0.011927266336000938
Heart Rate,0.00956515348972593
Diabetes,0.005157808920911076
Family History,0.06206504862143132
Smoking,0.003491367320366499
Obesity,0.006739191957090546
Alcohol Consumption,0.05166448144522322
Exercise Hours Per Week,0.020657919655548862
Diet,0.011428634846093242
Previous Heart Problems,0.0
Medication Use,0.03145069531788963
Stress Level,0.02776819335389052
Sedentary Hours Per Day,0.0333355299434326
Income,0.018621006852017116
BMI,0.035738492957793994
Triglycerides,0.01583072117258066
Physical Activity Days Per Week,0.018657110087132618
Sleep Hours Per Day,0.02052680416760626
Country,0.031496416472360206
Continent,0.01841702715319063
Hemisphere,0.0025872619201051886
Systolic BP,0.018739334673422568
Diastolic BP,0.029728856383392968
