feature,iter_16
Age,0.005248702298465817
Sex,0.0
Cholesterol,0.020489287292882612
Heart Rate,0.012765728315743307
Diabetes,0.004404463536560817
Family History,0.05037603733521746
Smoking,0.003778296231491226
Obesity,0.06860967008725077
Alcohol Consumption,0.005079126330614128
Exercise Hours Per Week,0.05739581311553768
Diet,0.007774350693873381
Previous Heart Problems,0.0018992593443484182
Medication Use,0.012881463507189845
Stress Level,0.02779466666956482
Sedentary Hours Per Day,0.011615280470708414
Income,0.029602459684716597
BMI,0.028041183293324466
Triglycerides,0.03717058823138123
Physical Activity Days Per Week,0.012078003065933948
Sleep Hours Per Day,0.007916688843322004
Country,0.012334447493313408
Continent,0.008223536010494636
Hemisphere,0.009643905027697885
Systolic BP,0.039197592984232414
Diastolic BP,0.0220832095433926
