feature,iter_17
Age,0.03717117063464301
Sex,0.01942516169694414
Cholesterol,0.033798317586433826
Heart Rate,0.01613947310599834
Diabetes,0.011241020120963757
Family History,0.0
Smoking,0.0055995053109479335
Obesity,0.028657199883200958
Alcohol Consumption,0.00638066396718908
Exercise Hours Per Week,0.02390658497885348
Diet,0.01740646207243214
Previous Heart Problems,0.03084434243781862
Medication Use,0.024556604502685285
Stress Level,0.017028667859186136
Sedentary Hours Per Day,0.05155172570140046
Income,0.024222627421577134
BMI,0.011328631609313805
Triglycerides,0.0245640372930945
Physical Activity Days Per Week,0.028729453449416322
Sleep Hours Per Day,0.027706707355323018
Country,0.02424636078785341
Continent,0.006566945628085477
Hemisphere,0.005454987225758118
Systolic BP,0.009377656268039956
Diastolic BP,0.013440337687039335
