feature,iter_7
Age,0.02111667274967243
Sex,0.0380831313919162
Cholesterol,0.01133060996564594
Heart Rate,0.039810994389600146
Diabetes,0.020203664004891916
Family History,0.0022358313604918588
Smoking,0.008716617445054111
Obesity,0.033851823880946534
Alcohol Consumption,0.0
Exercise Hours Per Week,0.056504166285328936
Diet,0.0
Previous Heart Problems,0.0017834126993485216
Medication Use,0.0022030959858051024
Stress Level,0.004330163653868601
Sedentary Hours Per Day,0.008020995832813366
Income,0.0031118225524497042
BMI,0.04375514864008559
Triglycerides,0.0
Physical Activity Days Per Week,0.005314553518601678
Sleep Hours Per Day,0.03364537521062909
Country,0.02361999636348864
Continent,0.05166428851105799
Hemisphere,0.008542971622748424
Systolic BP,0.008491417871324456
Diastolic BP,0.0730682874539947
