feature,iter_4
Age,0.05219888525200258
Sex,0.0440010545389507
Cholesterol,0.015089685583531182
Heart Rate,0.009308572888158614
Diabetes,0.0
Family History,0.009550900044228296
Smoking,0.007030920165395301
Obesity,0.02010456985005948
Alcohol Consumption,0.002491198224779252
Exercise Hours Per Week,0.035370744084624185
Diet,0.016938850495231517
Previous Heart Problems,0.02579497612104124
Medication Use,0.0
Stress Level,0.013133380570990259
Sedentary Hours Per Day,0.017885328118435895
Income,0.0
BMI,0.05310203937203425
Triglycerides,0.0482765608168632
Physical Activity Days Per Week,0.002467921916541634
Sleep Hours Per Day,0.05102158136601486
Country,0.027295694978991647
Continent,0.023357077846669464
Hemisphere,0.0
Systolic BP,0.012438933363742074
Diastolic BP,0.012556258885284366
