feature,iter_0
Age,0.018280011127771643
Sex,0.003986085342310713
Cholesterol,0.03566504951816742
Heart Rate,0.025803406418735
Diabetes,0.0018725520847243486
Family History,0.0
Smoking,0.0
Obesity,0.1888364575154038
Alcohol Consumption,0.001652741115183088
Exercise Hours Per Week,0.061522787603769884
Diet,0.003649086083341799
Previous Heart Problems,0.0014083284563346883
Medication Use,0.0049598937868741534
Stress Level,0.01445360005903855
Sedentary Hours Per Day,0.0031301445400328427
Income,0.013666209950334565
BMI,0.022771117037419405
Triglycerides,0.012205276989036283
Physical Activity Days Per Week,0.010821082171843117
Sleep Hours Per Day,0.025886697095137995
Country,0.012593831788712907
Continent,0.002171406432289095
Hemisphere,0.003263069531096435
Systolic BP,0.023623466269023674
Diastolic BP,0.005835462212018186
