feature,iter_5
Age,0.007833698125748485
Sex,0.003879898918925582
Cholesterol,0.0037244068160878097
Heart Rate,0.019773032368138023
Diabetes,0.0017045087982182682
Family History,0.021004334391321114
Smoking,0.003313601996439368
Obesity,0.0
Alcohol Consumption,0.002354954477487443
Exercise Hours Per Week,0.019679922957002417
Diet,0.0058234332643817355
Previous Heart Problems,0.0051204327167424235
Medication Use,0.008402617429378513
Stress Level,0.003628779038282792
Sedentary Hours Per Day,0.025356015719201496
Income,0.028355441209462217
BMI,0.01096305169460397
Triglycerides,0.015341374495355813
Physical Activity Days Per Week,0.009125781783541828
Sleep Hours Per Day,0.06470443034079167
Country,0.1282441998421297
Continent,0.008527543400607927
Hemisphere,0.019132356771179967
Systolic BP,0.04849398422069364
Diastolic BP,0.03402330100561017
