K,Method,Acc_Mean,Acc_Std,F1_Mean,F1_Std,Precision_Mean
2,Qwen2.5-7B-Instruct (top10),0.6870999999999999,0.02810853962766473,0.7111562812830277,0.04467689341923935,0.66343925819495
4,Qwen2.5-7B-Instruct (top10),0.7023499999999999,0.02368390803900403,0.730546907830897,0.017140864673243463,0.6712741530313755
6,Qwen2.5-7B-Instruct (top10),0.7103,0.020820902958325303,0.7336525046607805,0.021945299357966946,0.6814919062256782
8,Qwen2.5-7B-Instruct (top10),0.707,0.018384776310850226,0.7242163036490598,0.03221861898969599,0.685484899655303
10,Qwen2.5-7B-Instruct (top10),0.7057,0.016970857373745124,0.7307352086088131,0.02430592556288487,0.6759363709931753
12,Qwen2.5-7B-Instruct (top10),0.7103,0.015754681843820263,0.7337674965472153,0.016683781312840727,0.6811601822276414
14,Qwen2.5-7B-Instruct (top10),0.7114,0.01510430402236396,0.7349764451283559,0.0181152581071822,0.6814669168667483
16,Qwen2.5-7B-Instruct (top10),0.7030500000000001,0.015960811382884,0.729148133558931,0.015565989929126382,0.6729827172492134
