K,Method,Acc_Mean,Acc_Std,F1_Mean,F1_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,Avg_Retained_Features
2,TTFS-TOP5,0.5792499999999999,0.09442080014488333,0.4783216426589455,0.14670770817259485,0.6661607380446887,0.15269283296448538,0.42079999999999995,0.19440411518278106,5.0
4,TTFS-TOP5,0.6155,0.09768700015867003,0.5826338856455651,0.1431384152165157,0.6405044100275967,0.1506863265279144,0.5633,0.17342465222683884,4.9494
6,TTFS-TOP5,0.5991999999999998,0.0785268107081906,0.5905805971327746,0.08383253549929189,0.6178619299009778,0.10379201301085408,0.5868,0.12370836673402492,4.9827
8,TTFS-TOP5,0.6217500000000001,0.0793869479196675,0.5950742654505846,0.08754399785578193,0.6458759386109851,0.09680300178692056,0.5605,0.1022367350808896,4.98485
10,TTFS-TOP5,0.6603000000000001,0.0463498651562224,0.6336939663582427,0.07593533388339407,0.7055295157458479,0.09227048327845133,0.6113000000000001,0.15913550829403225,4.765649999999999
12,TTFS-TOP5,0.62815,0.07896535632794928,0.6168507736327127,0.07460754883519571,0.6473893465415809,0.10244406759527729,0.5982000000000001,0.08853451304434898,4.7412
14,TTFS-TOP5,0.6513500000000001,0.0629160353169206,0.6386258234508622,0.08211153255257107,0.6686366228511551,0.08567317019697321,0.6302999999999999,0.13100270989563534,4.8407
16,TTFS-TOP5,0.63895,0.06619476943082435,0.629246819576802,0.07175481524834527,0.6506570209713687,0.0814558770778095,0.6161000000000001,0.08939681202369577,4.862900000000001
