K,Method,Acc_Mean,Acc_Std,F1_Mean,F1_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std
2,Qwen-7B (Full Features),0.6636500000000001,0.011917529106320665,0.6346317131383953,0.026952560977266112,0.6944216768044822,0.01673550264180709,0.5871999999999999,0.05184361098534709
4,Qwen-7B (Full Features),0.66865,0.007837569776403914,0.6530674545783312,0.02018556483463942,0.6857695639578283,0.016842720554126892,0.6261,0.04741929986830256
6,Qwen-7B (Full Features),0.6617500000000001,0.010857601024167366,0.6351234895907482,0.025328513470339296,0.6898010287063621,0.019031982393720236,0.5917,0.052342239157300095
8,Qwen-7B (Full Features),0.6584500000000001,0.011186934343241682,0.622957096093669,0.03288104563364513,0.6957065750534597,0.02202293629636589,0.5689000000000001,0.06300944373663364
10,Qwen-7B (Full Features),0.65865,0.009916022388034436,0.6221734230013112,0.029453264873270286,0.6966894443866094,0.01787050718272363,0.5658,0.05689604555678714
12,Qwen-7B (Full Features),0.65435,0.015643768727515772,0.6013626077658888,0.040615441088914676,0.7093893219438391,0.020361645681724577,0.5266,0.06598818075989063
14,Qwen-7B (Full Features),0.6587,0.012058606884711031,0.6158307045397511,0.02304308995415716,0.7041475443029571,0.0163383816288492,0.5487,0.03826369036044484
16,Qwen-7B (Full Features),0.6547499999999999,0.013464304660843068,0.6066637185666511,0.032858084561325517,0.7046389820973622,0.0196448919989077,0.5358,0.052222217494089625
