K,Method,Acc_Mean,Acc_Std,F1_Mean,F1_Std,Precision_Mean,Recall_Mean,Avg_Features
2,Qwen2.5-7B (Sniper-TOP5),0.7089,0.025920841035738006,0.678009110290168,0.04655775966175811,0.7710133660299163,0.6263000000000002,5.0
4,Qwen2.5-7B (Sniper-TOP5),0.6909499999999998,0.034671998788647865,0.7079979500363968,0.017962539201729705,0.6869208799956003,0.7533000000000001,4.9494
6,Qwen2.5-7B (Sniper-TOP5),0.6937499999999999,0.03872063403406508,0.7075395093055714,0.014118524786206394,0.6947398975413335,0.7436,4.9827
8,Qwen2.5-7B (Sniper-TOP5),0.68875,0.03060861806746588,0.7093371114846267,0.011465195571946996,0.6730049731166061,0.7594000000000001,4.98485
10,Qwen2.5-7B (Sniper-TOP5),0.67585,0.04196459817512851,0.7028101769608428,0.028236451840895994,0.666773394904554,0.7743,4.765649999999999
12,Qwen2.5-7B (Sniper-TOP5),0.6897,0.029075935066649173,0.6998335414637135,0.02028427882504674,0.6905930765794763,0.7286,4.7412
14,Qwen2.5-7B (Sniper-TOP5),0.68275,0.029163118831839627,0.7130038745631404,0.013098093438202117,0.6596887562817673,0.7902,4.8407
16,Qwen2.5-7B (Sniper-TOP5),0.6852,0.03426601815209931,0.7059870318477215,0.013718962823986118,0.6713745089402122,0.7551999999999999,4.862900000000001
