K,Accuracy_Mean,Accuracy_Std,F1_Mean,F1_Std
2,0.5,0.0,0.0,0.0
4,0.5,0.0,0.0,0.0
6,0.5,0.0,0.0,0.0
8,0.5035999999999999,0.011909659944767535,0.35749973760985376,0.21401909931926186
10,0.5012000000000001,0.013021520648526434,0.5063256015361709,0.05347190109780843
12,0.5010000000000001,0.012190159966136633,0.5049574437390772,0.047579149992657034
14,0.4952000000000001,0.01105712440013226,0.4974266110771756,0.04682816165889207
16,0.5016999999999999,0.014053825102085209,0.4821723001922205,0.07272471072348238
