K,Method,Acc_Mean,Acc_Std,F1_Mean,F1_Std,Precision_Mean,Recall_Mean
2,TabPFN,0.5975,0.10680706905444039,0.5845976228212573,0.14546977547328088,0.6009060738493235,0.5985999999999999
4,TabPFN,0.6198499999999999,0.08599376430881485,0.6220423559568637,0.10195435015219405,0.6193608584961329,0.6446999999999999
6,TabPFN,0.6324000000000001,0.08815236809070985,0.6494297998601095,0.07302174903181356,0.633171807233095,0.6835
8,TabPFN,0.6288,0.0754775463300179,0.6244101742768777,0.08173591646032984,0.6350028244650824,0.6283000000000001
10,TabPFN,0.6315999999999999,0.05877448425975342,0.6363408282223395,0.06295344759095581,0.6330412183396836,0.6538999999999999
12,TabPFN,0.64435,0.06522597258761267,0.6508443308207335,0.07407379261607704,0.6400085487078304,0.6749
14,TabPFN,0.6461499999999999,0.07098751650818615,0.6465125445362894,0.08253923810195174,0.6482858027025624,0.6602
16,TabPFN,0.6556,0.0570669781922961,0.6472909620010097,0.08287922256891454,0.6616427638264442,0.6506000000000001
