K,Method,Acc_Mean,Acc_Std,F1_Mean,F1_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,Avg_Retained_Features
2,TTFS-TOP10,0.5025499999999999,0.011227087779117085,0.47502303079046104,0.12743413302524684,0.5013692109062623,0.013339828177508525,0.49870000000000003,0.21023727072048853,10.0
4,TTFS-TOP10,0.49535,0.014650170647470297,0.5150873206585096,0.11077732962023604,0.4947751679268716,0.018938867502212978,0.5820999999999998,0.21049035607362157,10.0
6,TTFS-TOP10,0.4991999999999999,0.009019977827023754,0.5129612026970852,0.06641511401846902,0.49941957487958827,0.009912764144427452,0.5461,0.13947397606722195,9.997
8,TTFS-TOP10,0.505,0.013856406460551033,0.5065312915308601,0.09298881093119946,0.5045316792425203,0.015671330881608717,0.5409999999999999,0.18196318308932716,9.99975
10,TTFS-TOP10,0.5024,0.014381933110677451,0.5114391777184781,0.09766642389769206,0.5004610572259613,0.015763670973904194,0.5574000000000001,0.19350565883198353,9.91825
12,TTFS-TOP10,0.4987500000000001,0.012668366114065393,0.5130351526944642,0.052736414779521255,0.49974064518742906,0.012840988290407666,0.5405,0.11463311040009337,9.99725
14,TTFS-TOP10,0.49515000000000003,0.01343233040093938,0.4967386956877604,0.059753791025502004,0.4949326105403144,0.014341356242098148,0.5119,0.11967702369293783,9.9952
16,TTFS-TOP10,0.4958999999999999,0.011366177897604817,0.49281584975256576,0.05479465779600504,0.49618704920444046,0.014166468261255775,0.5006,0.10174497530590884,9.785900000000002
