K,Method,Acc_Mean,Acc_Std,F1_Mean,F1_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,Avg_Retained_Features
2,TTFS-TOP5,0.5022,0.01256821387469199,0.505485470821992,0.13861582114310822,0.5023973760813111,0.028652515945599717,0.5695,0.22490431298665664,5.0
4,TTFS-TOP5,0.49609999999999993,0.011618519699169954,0.5419592076299564,0.09729569629317002,0.4947316383782766,0.010992423999873664,0.6394000000000001,0.21299211253001837,4.99635
6,TTFS-TOP5,0.4981999999999999,0.008524083528450441,0.5047102187227096,0.09190316362156752,0.4971061273202185,0.01071323797703955,0.5437000000000001,0.17980019466062874,4.97105
8,TTFS-TOP5,0.49860000000000004,0.014308738588708661,0.48395247618349424,0.09834617620599084,0.4996119684798425,0.0148286601818038,0.506,0.19145025463550577,4.9932
10,TTFS-TOP5,0.49429999999999996,0.01149826073804209,0.47944388760200407,0.11935421022813034,0.49013470661209285,0.01630909475820615,0.5117,0.21183038025741258,4.9183
12,TTFS-TOP5,0.5035000000000001,0.013742270554751872,0.5131818585338759,0.08251254093596617,0.5050449443973932,0.015901443656983275,0.5512000000000001,0.16439635032445213,4.9919
14,TTFS-TOP5,0.49594999999999995,0.012978732603763749,0.4892586271364346,0.07644653108145152,0.4963750993388677,0.013934831201106097,0.5050000000000001,0.15027774286300682,4.9891
16,TTFS-TOP5,0.4997999999999999,0.013298872132628401,0.4863143708772516,0.07096477223046699,0.499697145614802,0.01500054271627352,0.4913000000000002,0.13339906296522477,4.8378499999999995
